No.	0154.153951.23.154459.22	0424.423851.25.424490.23	0577.577219.24.577601.25	0580.580522.19.580875.19	0802.802196.22.802604.24	0960.959870.24.960513.23	1644.1644028.25.1644699.21	1955.1955538.20.1955744.20	2059.2059289.24.2059880.24	2163b.2163691.24.2164103.18	2165.2165205.24.2165625.24	2347.2347278.22.2347841.25	2401.2401697.23.2402060.25	2461.2461104.24.2461622.25	2531.2531836.23.2532301.25	2687.2686951.24.2687398.21	2996.2995983.25.2996421.21	3007.3006878.24.3007535.22	3171.3171410.22.3171898.25	3192.3191979.24.3192630.19	3690.3690764.23.3691152.25	4052.4052891.18.4053609.28	4156.4156573.20.4157254.15	4348.4348404.24.4349050.24
0s	-100	-100	-100	122	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
0	402	537	171	175	354	482	565	116	437	67	195	335	252	347	150	395	285	498	326	492	272	163	563	540
1s	-100	-100	-100	199	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
1	455	588	208	252	408	537	618	149	514	136	270	392	305	404	200	447	336	551	380	545	330	274	622	593
2s	-100	-100	-100	276	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
2	508	639	266	329	462	590	671	206	591	205	345	449	363	461	253	501	387	604	434	598	388	385	681	646
3s	-100	-100	-100	353	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
3	561	690	324	406	516	643	724	263	668	274	420	506	421	518	306	555	438	657	488	651	446	496	740	699
4s	-100	-100	-100	430	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
4	614	741	382	483	570	696	777	320	745	343	495	563	479	575	359	609	489	710	542	704	504	607	799	752
5s	-100	-100	-100	507	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
5	667	792	440	560	624	749	830	377	822	412	570	620	537	632	412	663	540	763	596	757	562	718	858	805
6s	-100	-100	-100	584	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
6	720	843	498	637	678	802	883	434	899	481	645	677	595	689	465	717	591	816	650	810	620	829	917	858
7s	-100	-100	-100	661	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
7	773	894	556	714	732	855	936	491	976	550	720	734	653	746	518	771	642	869	704	863	678	940	976	911
8s	-100	-100	-100	738	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
8	826	945	614	791	786	908	989	548	1053	619	795	791	711	803	571	825	693	922	758	916	736	1051	1035	964
9s	-100	-100	-100	815	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100
9	879	996	672	868	840	961	1042	605	1130	688	870	848	769	860	624	879	744	975	812	969	794	1162	1094	1017
10	932	1047	730	945	894	1014	1095	662	1207	757	945	905	827	917	677	933	795	1028	866	1022	852	1273	1153	1070
11	985	1098	788	1022	948	1067	1148	719	1284	826	1020	962	885	974	730	987	846	1081	920	1075	910	1384	1212	1123
12	1038	1149	846	1099	1002	1120	1201	776	1361	895	1095	1019	943	1031	783	1041	897	1134	974	1128	968	1495	1271	1176
13	1091	1200	904	1176	1056	1173	1254	833	1438	964	1170	1076	1001	1088	836	1095	948	1187	1028	1181	1026	1606	1330	1229
14	1144	1251	962	1253	1110	1226	1307	890	1515	1033	1245	1133	1059	1145	889	1149	999	1240	1082	1234	1084	1717	1389	1282
15	1197	1302	1020	1330	1164	1279	1360	947	1592	1102	1320	1190	1117	1202	942	1203	1050	1293	1136	1287	1142	1828	1448	1335
