Read	Ref	Flag	MapQ	RefPos	ReadLength	RefAlnLength	Matches	Snps	Inss	Dels	softMask	MedianQ	MeanQ
Spacer1	NC_000962.3	16	26	3123441	25	25	25	0	0	0	0	0.000000	0.000000
Spacer2	NC_000962.3	16	23	3123359	25	25	25	0	0	0	0	0.000000	0.000000
Spacer3	NC_000962.3	16	27	3123284	25	25	25	0	0	0	0	0.000000	0.000000
Spacer4	NC_000962.3	16	28	3123209	25	25	25	0	0	0	0	0.000000	0.000000
Spacer5	NC_000962.3	16	27	3123148	25	25	25	0	0	0	0	0.000000	0.000000
Spacer6	NC_000962.3	16	28	3123070	25	25	25	0	0	0	0	0.000000	0.000000
Spacer7	NC_000962.3	16	29	3123002	25	25	25	0	0	0	0	0.000000	0.000000
Spacer8	NC_000962.3	16	24	3122929	25	25	25	0	0	0	0	0.000000	0.000000
Spacer9	NC_000962.3	16	26	3122857	25	25	25	0	0	0	0	0.000000	0.000000
Spacer10	NC_000962.3	16	28	3122776	25	25	25	0	0	0	0	0.000000	0.000000
Spacer11	NC_000962.3	16	28	3122710	25	25	25	0	0	0	0	0.000000	0.000000
Spacer12	NC_000962.3	16	26	3122631	25	25	25	0	0	0	0	0.000000	0.000000
Spacer13	NC_000962.3	16	28	3122554	25	25	25	0	0	0	0	0.000000	0.000000
Spacer14	NC_000962.3	16	25	3122472	25	25	25	0	0	0	0	0.000000	0.000000
Spacer15	NC_000962.3	16	7	3122411	25	25	25	0	0	0	0	0.000000	0.000000
Spacer16	NC_000962.3	16	28	3122343	25	25	25	0	0	0	0	0.000000	0.000000
Spacer17	NC_000962.3	16	25	3122266	25	25	25	0	0	0	0	0.000000	0.000000
Spacer18	NC_000962.3	16	28	3122203	25	25	25	0	0	0	0	0.000000	0.000000
Spacer19	NC_000962.3	16	26	3122123	25	25	25	0	0	0	0	0.000000	0.000000
Spacer20	NC_000962.3	16	2	78143	25	15	15	0	4	0	6	0.000000	0.000000
Spacer21	NC_000962.3	16	1	3588759	25	49	24	1	0	24	0	0.000000	0.000000
Spacer22	NC_000962.3	16	21	3122049	25	25	25	0	0	0	0	0.000000	0.000000
Spacer23	NC_000962.3	16	26	3121979	25	25	25	0	0	0	0	0.000000	0.000000
Spacer24	NC_000962.3	16	27	3121904	25	25	25	0	0	0	0	0.000000	0.000000
Spacer25	NC_000962.3	16	28	3120469	25	25	25	0	0	0	0	0.000000	0.000000
Spacer26	NC_000962.3	16	22	3120408	25	25	25	0	0	0	0	0.000000	0.000000
Spacer27	NC_000962.3	16	27	3120323	25	25	25	0	0	0	0	0.000000	0.000000
Spacer28	NC_000962.3	16	28	3120260	25	25	25	0	0	0	0	0.000000	0.000000
Spacer29	NC_000962.3	16	28	3120183	25	25	25	0	0	0	0	0.000000	0.000000
Spacer30	NC_000962.3	16	26	3120104	25	25	25	0	0	0	0	0.000000	0.000000
Spacer31	NC_000962.3	16	29	3120034	25	25	25	0	0	0	0	0.000000	0.000000
Spacer32	NC_000962.3	16	25	3119958	25	25	25	0	0	0	0	0.000000	0.000000
Spacer33	NC_000962.3	0	2	2994730	25	21	19	1	1	1	4	0.000000	0.000000
Spacer34	NC_000962.3	16	2	897638	25	17	16	0	0	1	9	0.000000	0.000000
Spacer35	NC_000962.3	16	3	1882099	25	20	19	1	1	0	4	0.000000	0.000000
Spacer36	NC_000962.3	0	3	2815038	25	21	17	1	0	3	7	0.000000	0.000000
Spacer37	NC_000962.3	16	9	3119888	25	25	25	0	0	0	0	0.000000	0.000000
Spacer38	NC_000962.3	16	28	3119819	25	25	25	0	0	0	0	0.000000	0.000000
Spacer39	NC_000962.3	16	28	3119750	25	25	25	0	0	0	0	0.000000	0.000000
Spacer40	NC_000962.3	16	29	3119671	25	25	25	0	0	0	0	0.000000	0.000000
Spacer41	NC_000962.3	16	10	3119592	25	25	25	0	0	0	0	0.000000	0.000000
Spacer42	NC_000962.3	16	28	3119527	25	25	25	0	0	0	0	0.000000	0.000000
Spacer43	NC_000962.3	16	24	3119455	25	25	25	0	0	0	0	0.000000	0.000000
