primer	ref	dir	start	end	drug1	drug2	drug3	drug4	end	notes
atpE	NC_000962.3	+	1460654	1461661	BDQ	na	na	na	*	na
ahpc	NC_000962.3	+	2726145	2726879	na	na	na	na	*	WHO_2023_does_not_have_this_gene_should_be_INH
ddn	NC_000962.3	+	3986713	3987596	DLM	PMD	na	na	*	na
eis	NC_000962.3	-	2714690	2715697	AMK	KAN	na	na	*	WHO_2023_adds_KAN
embA	NC_000962.3	+	4243009	4243952	na	na	na	na	*	WHO_2023_does_not_have_this_gene_should_be_EMB
embB	NC_000962.3	+	4247163	4248279	EMB	na	na	na	*	na
ethA_1	NC_000962.3	-	4325962	4326964	ETO	na	na	na	*	na
ethA_2	NC_000962.3	-	4327031	4327756	ETO	na	na	na	*	na
fabG1	NC_000962.3	+	1673381	1674200	INH	ETO	na	na	*	WHO_2023_adds_ETO
fbiA	NC_000962.3	+	3640526	3641693	DLM	PMD	na	na	*	na
fbiB	NC_000962.3	+	3641735	3642953	DLM	PMD	na	na	*	na
fbiC_1	NC_000962.3	+	1302839	1303958	DLM	PMD	na	na	*
fbiC_2	NC_000962.3	+	1304111	1305689	DLM	PMD	na	na	*
fbiD	NC_000962.3	+	3338995	3339906	DLM	PMD	na	na	*	WHO_2023_adds_PMD
fgd1	NC_000962.3	+	490761	491838	DLM	PMD	na	na	*	for_some_reason_WHO_2023_did_not_have_CFZ_and_added_DLM_and_PMD
gidB	NC_000962.3	-	4407447	4408180	STR	na	na	na	*	na
gyrA	NC_000962.3	+	7354	8216	LFX	MFX	FLQ	na	*	WHO_2023_added_FLQ
gyrB	NC_000962.3	+	5981	7263	LFX	MFX	FLQ	na	*	WHO_2023_added_FLQ
hsp65	NC_000962.3	+	528752	529673	id	na	na	na	* no_drugs
inhA	NC_000962.3	+	1674231	1675048	INH	ETO	na	na	*	WHO_2023_added_ETO
katG_1	NC_000962.3	-	2154733	2156152	INH	na	na	na	*	na
katG_2	NC_000962.3	-	2154691	2153654	INH	na	na	na	*	not_in_WHO_2023_catalog_but_is_likely_frame_shift_so_keeping
pepQ	NC_000962.3	+	2859264	2860441	BDQ	CFZ	na	na	*	na
pncA	NC_000962.3	+	2288498	2289407	PZA	na	na	na	*	na
rplC	NC_000962.3	+	800623	801640	LZD	na	na	na	*	na
rpoB	NC_000962.3	+	760092	761583	RIF	na	na	na	*	na
rpsL	NC_000962.3	+	781446	782146	STR	na	na	na	*	na
rrl	NC_000962.3	+	1475388	1476776	LZD	na	na	na	*	na
rrs	NC_000962.3	+	1471805	1473450	STR	AMK	CAP	KAN	* WHO_2023_added_AMK_CAP_KAN
Rv0678	NC_000962.3	+	778865	779682	BDQ	CFZ	na	na	*	na
tlyA	NC_000962.3	+	1917918	1918770	CAP	na	na	na	*	na
